id_player;turn_number;position_clicked;time_until_match;suggestion_type;position_suggested;robot_type;match;game_ended
9;1;[0, 0];0:3;none;none;ToM;False;False
9;2;[3, 3];0:4;none;none;faulty;True;False
9;3;[3, 4];0:0;none;none;faulty;False;False
9;4;[2, 4];0:1;none;none;faulty;True;False
9;5;[3, 2];0:4;none;none;faulty;False;False
9;6;[3, 1];0:5;none;none;faulty;True;False
9;7;[2, 1];0:6;none;none;faulty;False;False
9;8;[3, 0];0:7;none;none;faulty;True;False
9;9;[1, 0];0:4;none;none;faulty;False;False
9;10;[0, 3];0:7;none;none;faulty;True;False
9;11;[0, 2];0:4;none;none;faulty;False;False
9;12;[1, 3];0:4;none;none;faulty;True;False
9;13;[0, 1];0:7;none;none;faulty;False;False
9;14;[0, 4];0:8;none;none;faulty;True;False
9;15;[1, 1];0:1;none;none;faulty;False;False
9;16;[1, 2];0:2;none;none;faulty;False;False
9;17;[2, 2];0:3;none;none;faulty;False;False
9;18;[2, 3];0:4;card;[2, 0];faulty;False;False
9;19;[2, 2];0:5;none;none;faulty;False;False
9;20;[1, 2];0:6;card;[2, 0];faulty;False;False
9;21;[1, 1];0:7;none;none;faulty;False;False
9;22;[1, 2];0:8;card;[2, 3];faulty;False;False
9;23;[2, 2];0:9;none;none;faulty;False;False
9;24;[2, 3];0:9;row;2;faulty;False;False
9;25;[1, 1];0:9;card;[1, 1];faulty;False;False
9;26;[2, 5];0:9;card;[2, 5];faulty;False;False
9;27;[3, 5];0:10;none;none;faulty;False;False
9;28;[1, 5];0:10;column;5;faulty;False;False
9;29;[0, 5];0:20;card;[1, 5];faulty;False;False
9;30;[1, 2];0:20;card;[2, 5];faulty;False;False
9;31;[2, 5];0:22;none;none;faulty;False;False
9;32;[1, 4];0:27;row;1;faulty;True;False
9;33;[3, 5];0:1;none;none;faulty;False;False
9;34;[0, 5];0:2;none;none;faulty;True;False
9;35;[1, 2];0:0;none;none;faulty;False;False
9;36;[1, 5];0:2;none;none;faulty;True;False
9;37;[2, 3];0:0;none;none;faulty;False;False
9;38;[1, 1];0:1;none;none;faulty;True;False
9;39;[2, 2];0:0;none;none;faulty;False;False
9;40;[2, 0];0:1;none;none;faulty;True;True
