id_player;turn_number;position_clicked;time_until_match;suggestion_type;position_suggested;robot_type;match;game_ended
17;1;[0, 0];0:3;none;none;ToM;False;False
17;2;[2, 2];0:12;none;none;ToM;True;False
17;3;[0, 1];0:1;none;none;ToM;False;False
17;4;[2, 1];0:2;none;none;ToM;True;False
17;5;[0, 2];0:10;none;none;ToM;False;False
17;6;[0, 5];0:11;none;none;ToM;True;False
17;7;[0, 3];0:1;none;none;ToM;False;False
17;8;[1, 3];0:1;none;none;ToM;False;False
17;9;[0, 4];0:2;none;none;ToM;False;False
17;10;[1, 0];0:12;none;none;ToM;True;False
17;11;[3, 3];0:1;row;1;ToM;False;False
17;12;[1, 4];0:2;none;none;ToM;True;False
17;13;[2, 5];0:2;none;none;ToM;False;False
17;14;[1, 3];0:3;none;none;ToM;False;False
17;15;[2, 4];0:3;none;none;ToM;False;False
17;16;[3, 2];0:4;none;none;ToM;False;False
17;17;[3, 5];0:6;row;3;ToM;False;False
17;18;[0, 3];0:6;card;[3, 5];ToM;False;False
17;19;[1, 1];0:7;column;3;ToM;False;False
17;20;[1, 3];0:8;card;[1, 1];ToM;False;False
17;21;[3, 5];0:12;column;3;ToM;False;False
17;22;[1, 3];0:15;card;[3, 5];ToM;True;False
17;23;[3, 2];0:4;column;3;ToM;False;False
17;24;[1, 1];0:7;none;none;ToM;False;False
17;25;[0, 3];0:8;none;none;ToM;False;False
17;26;[1, 1];0:8;none;none;ToM;True;False
17;27;[3, 1];0:1;column;1;ToM;False;False
17;28;[2, 5];0:4;none;none;ToM;False;False
17;29;[1, 5];0:5;none;none;ToM;False;False
17;30;[3, 1];0:5;none;none;ToM;False;False
17;31;[2, 0];0:5;row;3;ToM;False;False
17;32;[2, 5];0:8;card;[2, 0];ToM;True;False
17;33;[1, 5];0:1;column;5;ToM;False;False
17;34;[2, 4];0:2;none;none;ToM;False;False
17;35;[1, 2];0:2;none;none;ToM;False;False
17;36;[3, 4];0:3;none;none;ToM;False;False
17;37;[3, 2];0:4;none;none;ToM;False;False
17;38;[3, 4];0:5;none;none;ToM;False;False
17;39;[2, 3];0:6;none;none;ToM;False;False
17;40;[3, 4];0:7;none;none;ToM;True;False
17;41;[2, 4];0:1;none;none;ToM;False;False
17;42;[1, 2];0:3;none;none;ToM;False;False
17;43;[1, 5];0:4;none;none;ToM;False;False
17;44;[1, 2];0:5;none;none;ToM;False;False
17;45;[2, 4];0:6;none;none;ToM;False;False
17;46;[3, 2];0:7;none;none;ToM;False;False
17;47;[1, 2];0:8;none;none;ToM;False;False
17;48;[3, 1];0:9;none;none;ToM;False;False
17;49;[3, 2];0:10;none;none;ToM;False;False
17;50;[1, 5];0:11;none;none;ToM;True;False
17;51;[2, 4];0:1;none;none;ToM;False;False
17;52;[3, 1];0:1;none;none;ToM;True;False
17;53;[3, 0];0:1;none;none;ToM;False;False
17;54;[1, 2];0:2;none;none;ToM;True;True
